CustomerID,Invoice,StockCode,Description,Quantity,Price,InvoiceDate,Country,SourceFile,Worksheet,ExcelRow,RowID
13085,489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,6.95,2009-12-01 07:45:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,2,Year 2009-2010:2
13085,489434,79323P,PINK CHERRY LIGHTS,12,6.75,2009-12-01 07:45:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,3,Year 2009-2010:3
13085,489434,79323W,WHITE CHERRY LIGHTS,12,6.75,2009-12-01 07:45:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,4,Year 2009-2010:4
13085,489434,22041,"RECORD FRAME 7"" SINGLE SIZE",48,2.1,2009-12-01 07:45:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,5,Year 2009-2010:5
13085,489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,1.25,2009-12-01 07:45:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,6,Year 2009-2010:6
13085,489434,22064,PINK DOUGHNUT TRINKET POT,24,1.65,2009-12-01 07:45:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7,Year 2009-2010:7
13085,489434,21871,SAVE THE PLANET MUG,24,1.25,2009-12-01 07:45:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,8,Year 2009-2010:8
13085,489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,5.95,2009-12-01 07:45:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,9,Year 2009-2010:9
13085,489435,22350,CAT BOWL,12,2.55,2009-12-01 07:46:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,10,Year 2009-2010:10
13085,489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,3.75,2009-12-01 07:46:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,11,Year 2009-2010:11
13085,489435,22195,HEART MEASURING SPOONS LARGE,24,1.65,2009-12-01 07:46:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,12,Year 2009-2010:12
13085,489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,12,2.55,2009-12-01 07:46:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,13,Year 2009-2010:13
,489464,21733,85123a mixed,-96,0,2009-12-01 10:52:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,265,Year 2009-2010:265
,489463,71477,short,-240,0,2009-12-01 10:52:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,285,Year 2009-2010:285
,489467,85123A,21733 mixed,-192,0,2009-12-01 10:53:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,286,Year 2009-2010:286
,489521,21646,,-50,0,2009-12-01 11:44:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,472,Year 2009-2010:472
,489525,85226C,BLUE PULL BACK RACING CAR,1,0.55,2009-12-01 11:49:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,579,Year 2009-2010:579
,489525,85227,SET/6 3D KIT CARDS FOR KIDS,1,0.85,2009-12-01 11:49:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,580,Year 2009-2010:580
13085,490068,22350,CAT BOWL,12,2.55,2009-12-03 14:06:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7741,Year 2009-2010:7741
13085,490068,22349,"DOG BOWL , CHASING BALL DESIGN",12,3.75,2009-12-03 14:06:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7742,Year 2009-2010:7742
13085,490068,22201,FRYING PAN BLUE POLKADOT,4,4.25,2009-12-03 14:06:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7743,Year 2009-2010:7743
13085,490068,22200,FRYING PAN PINK POLKADOT,4,4.25,2009-12-03 14:06:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7744,Year 2009-2010:7744
13085,490068,22204,MILK PAN BLUE RETROSPOT,4,3.75,2009-12-03 14:06:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7745,Year 2009-2010:7745
13085,490068,22202,MILK PAN PINK RETROSPOT,8,3.75,2009-12-03 14:06:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7746,Year 2009-2010:7746
13085,490068,22195,HEART MEASURING SPOONS LARGE,24,1.65,2009-12-03 14:06:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7747,Year 2009-2010:7747
13085,490068,21955,UNION JACK GUNS & ROSES  DOORMAT,10,5.95,2009-12-03 14:06:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7748,Year 2009-2010:7748
13085,490068,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,12,2.55,2009-12-03 14:06:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7749,Year 2009-2010:7749
13085,490069,22041,"RECORD FRAME 7"" SINGLE SIZE",12,2.55,2009-12-03 14:07:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7750,Year 2009-2010:7750
13085,490069,21232,STRAWBERRY CERAMIC TRINKET BOX,12,1.25,2009-12-03 14:07:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7751,Year 2009-2010:7751
13085,490069,22064,PINK DOUGHNUT TRINKET POT,12,1.65,2009-12-03 14:07:00,United Kingdom,online_retail_II.xlsx,Year 2009-2010,7752,Year 2009-2010:7752
